Cell Type;clust_basic;Gene;Subclust_name;Clust_num;Subcluster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;CXCL8;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;CD83;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;FCER1G;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;DNAJB1;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;GPR183;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;PLAUR;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;RGS2;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;HSP90AA1;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;MMP2;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;TNFAIP6;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;PTGES;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;THBS2;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;C1S;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;PDPN;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
